ID,SCREENNAME,FOLLOWERCOUNT
3080761,mattcutts,513697
34317032,KHayhoe,201856
18957805,internetarchive,192715
14211946,rachelheldevans,159567
19203768,katestarbird,42209
18399014,PatWhite70,41543
22160201,fpmarconi,23423
35213582,nakedpastor,22488
254201259,merbroussard,20893
50122046,melissaterras,18692
198380023,Chopper_Boy,14973
10034972,tjowens,10884
2370912601,Medium_Aevum,8723
1686799970,FreeLawProject,8281
355773903,archiveitorg,8026
22058343,elizabethagan,7348
15449070,brettbobley,7201
8273852,silvertje,7097
307755344,UKWebArchive,6588
852241,lisawilliams,6530
315675025,BabaKristian,6451
1711281463,clancynewyork,6175
15923007,Harry_MiniumODU,5472
255681367,ianmilligan1,5470
258032124,ChiefScientist,5196
799574,dietrich,5170
169666017,stagedreaction,4537
589300441,JASIST,4459
14707329,timgollins,4282
15842692,JenServenti,4261
15754107,WHRO,4211
121140906,cni_org,4176
840612089626468353,i4oc_org,3866
8769542,peterkz_swe,3855
476100749,pj_webster,3670
259850415,NetPreserve,3567
12434302,jschneider,3539
3042711,MarkGraham,3418
1589381,RyanDeschamps,3372
618889136,archiveis,3346
1701371,anjacks0n,3101
48382538,amelia_acker,3022
727549675,topgolfvabeach,2811
1031591,mcdonald,2738
14121668,euanc,2700
190987043,aleebrahim,2644
13645402,ChrisAldrich,2633
30180284,Doorcow,2611
3354261519,HamptonRFinest,2485
17075190,christawells,2456
50128998,jessogden,2445
3367252762,DrCurtisFreeman,2424
54257466,NYhuman,2423
2798804447,oacore,2350
16868154,arjenpdevries,2304
122477531,MIThyperstudio,2280
420457074,owilliamsdc,2239
2490297780,valerie_schafer,2195
991182416,VickyRampin,2193
262147093,thesquashSH,2077
15841047,bigbluehat,2076
1632131,michelle__breen,2052
116337949,mfgaede,1914
174805704,JessiDG,1909
2436932576,ifoundtheme,1846
48082526,agrotke,1815
153136109,cbmrccc,1775
6758652,docmattweber,1763
796050591248220162,quilldir,1742
19543146,alabarga,1739
2025101,PFCdgayo,1730
24092133,ruebot,1638
844036734,La_Elichola,1593
1148762064,WebArch_RT,1545
64245814,sethvanhooland,1498
157012781,RahelJhirad,1459
35592012,Geoffmuse,1458
22898537,anatbd,1439
135076044,enigmaticocean,1436
12006852,freegovinfo,1431
2722830710,SoftPresNetwork,1428
320298773,perrycollins,1421
743086431971778561,unleasharchives,1416
15970999,keesone,1402
707840696,landlibrarian,1370
380373487,queenborgtweets,1362
350556278,pixprin,1347
14341386,soilandreyes,1325
14564240,vphill,1305
151901549,phonedude_mln,1265
1061616835,JamieMSmyth,1254
78269677,iFromm,1240
894036494096113664,pluto_corp,1232
199205892,atomotic,1213
47971284,AGreenDCBike,1211
15044465,nullhandle,1210
7377862,cazzerson,1164
14278162,maxgreco,1164
3707214743,saglikozhan,1140
189145660,JoshuaFinnell,1140
18663040,ashley247,1120
14807028,knmnyn,1095
2239834663,nyarcist,1073
337124515,mart1nkle1n,989
605923,walkeroh,981
22943563,abugseye,981
618128128,ShuiwangJi,970
20449047,mcguthrie,956
32917718,CristianNorocel,953
1637456210,KotsemirMaxim,938
146977144,KRGilbertson,933
116974911,vincelebow,897
145310513,f_nanni,896
18076477,Maria_Brid,883
19613659,shuri_org,875
38996816,mhucka,834
719447142650273792,datovisual,826
915196352,profdownie,823
28631536,ibnesayeed,807
1025874262945611776,climate_gamers,807
1444456622,AnnaPerricci,802
752355219955154944,lee_bcg,801
14629974,brianwc,797
2351420289,SystemicSarcasm,796
35063411,liblaura,784
221783062,denimsmith,779
1190461842922995712,CIKM2021,777
248487038,Moha_Magdy,757
285932503,gracehthom,746
4502652733,IlyaKreymer,744
28288234,ShicretaM,733
479894950,machawk1,686
217377296,matthias_hagen,674
22826489,shawnmjones,672
191032987,MarthaBunton,667
1927768428,WebSciDL,651
90327389,japharl,651
2278388744,AutonomyIncub8r,647
18227931,aag1091,647
920700510306529280,acm_ictir,641
820266752617615361,wfpsb,641
222584301,adbarbaresi,637
19776081,bindonlane,625
839212831,_aniketpasalkar,613
79942228,kaskekanke,603
889998600,DavidGotz,602
2991697611,nanopub_org,587
281068455,jasminemulliken,578
830441646,UCampusODU,571
791685941672935424,ScHealyire,569
958589852634746880,theenneaproject,557
3760398976,diskretewerte,555
239722311,JoeranBeel,554
36299530,e_mccain,550
1285333231064293378,dpoe_network,527
2914605289,fadlan_anam,525
384353422,jimmy_ecker,522
1098191336468041729,StyufV,517
16861499,mandyemcmichael,506
27838943,mpmorillo,488
1089947667852083200,ODUSCI,485
942459317449580553,bobcatsss2019,483
1151474119252336641,EWAConf,479
387831845,maherzog,474
899324236610715648,TheDevsNetwork,468
2533947620,Lmalongo2,467
4896184433,ODUVMASC,455
742639456080039936,4tykhonov,454
221460308,yasmina_anwar,450
2936496598,artlibrariannyc,444
15709458,AntalGP,433
16914744,BrianAcomedian,430
274274893,technelily,428
213612790,mayank_iitgn,423
18638955,mousta,418
5693852,stevesunypoly,416
20816117,jasonhcook,415
14149525,fmccown,409
13686942,jakkbl,406
104591562,oducs,405
2396255567,FFuqiang,399
50410039,NancyAjarmeh,390
2592291038,acnwala,386
1299060908,DanKerchner,383
104074179,mhdfadhil,382
919976834577641473,Michael21870514,381
278661116,aalsum,376
908722394,TicksRock,373
335488383,AtmaKaram,362
1296596841732009985,jvsjsu,352
43868896,kaiec,349
856814478,SamVFritz,340
16309753,Mahmoud_Banna,339
10271802,adammo,334
455827771,BelaGipp,329
284205655,erikaris,328
180473295,justinfbrunelle,324
202501551,mjgengenbach,323
817603403677253633,TirthankarSlg,321
1179138666477674497,millennial_gis,317
197877074,unmil,315
711254847,EgglestonChad,314
869113722530402304,yvesmaurer,313
2986305078,JCDLConf,313
95278991,b1ninch,305
1403868055541854209,StepBaker1,304
195447741,samy_tawab,301
22689222,athurman,300
1086431127500410880,JamesWi47315107,296
122387614,genafraggle,287
16700783,LizzyInfo101,286
1376521629078028288,Respadon_Projet,286
344269976,hstrelecki,285
1723337161,SaraSprenkle,284
360935984,sticledis,279
2151332060,rsko83,272
5380512,danniethedelta,269
606550203,jcdl2013,268
1148354221,emilymaemura,267
1265415165467660292,urlfreezer,265
869730592799281153,CanuckDee2,262
3459604876,ODUmlis,261
244663348,LittlePeteHX853,255
2381231737,DrDanetteAllen,255
1330777669307392001,ArchiveBoxApp,254
3067930637,JimSaiya,251
57014378,joannafinegan,251
732268480179908609,ErikaFrydenlund,250
399555239,PoppaTiger1,245
249127464,aheshamSalem,244
863233914,OpenMaze,237
2607674898,yasithmilinda,231
3234404271,brcrau,229
973652743998115840,brinabyte,228
47233122,vinaygo,227
899700368208261125,Data_Together,227
2322493710,ShanaJones71,226
97436767,ijdl,221
36132608,this_phillips,218
814881163059806208,becerratops,216
739900844531974144,jcdl2017,209
264861144,kritika_garg,208
4897300665,wospworkshop,208
